id,latitude,longitude,accommodates,price,cleaning_fee,weekly_earnings
7146663,37.78831989,-122.4098202,4,$499.00 ,,2095.80
13528513,37.78840769,-122.4160245,2,$149.00 ,$35.00 ,590.80
10067187,37.78876773,-122.4083022,2,$125.00 ,$50.00 ,475.00
6958513,37.78697352,-122.4142846,4,$350.00 ,,1470.00
224671,37.77653321,-122.4187758,5,$300.00 ,$90.00 ,1170.00
17591034,37.78869223,-122.4130498,4,$249.00 ,,1045.80
16018565,37.78810562,-122.4153729,4,$230.00 ,$60.00 ,906.00
10792038,37.78860987,-122.410737,4,$119.00 ,,499.80
17787995,37.78469958,-122.4138893,2,$100.00 ,,420.00
7958278,37.78836168,-122.4106279,4,$180.00 ,,756.00
9119249,37.77981465,-122.4218951,2,$140.00 ,,588.00
7958214,37.78663806,-122.4094268,4,$180.00 ,,756.00
16549601,37.78363062,-122.4165129,1,$65.00 ,,273.00
12185282,37.78871135,-122.4105685,4,$299.00 ,,1255.80
5750941,37.78845994,-122.4125523,1,$100.00 ,$25.00 ,395.00
7958168,37.78733169,-122.4092491,4,$180.00 ,,756.00
16664687,37.78397678,-122.4153238,2,$100.00 ,,420.00
2279254,37.78780147,-122.4097767,2,$219.00 ,,919.80
15821780,37.77537078,-122.4201404,4,$149.00 ,$99.00 ,526.80
4795339,37.78383768,-122.4107756,2,$55.00 ,,231.00
7367530,37.78744874,-122.4080927,2,$110.00 ,$25.00 ,437.00
4795263,37.78281612,-122.4107919,2,$55.00 ,,231.00
469810,37.78509915,-122.4123845,3,$145.00 ,$30.00 ,579.00
4728615,37.78688321,-122.4077741,1,$89.00 ,$25.00 ,348.80
16771827,37.78860622,-122.4132962,4,$475.00 ,,1995.00
12592006,37.78221494,-122.4228937,2,$118.00 ,$35.00 ,460.60
10857835,37.78867009,-122.4156603,2,$300.00 ,$60.00 ,1200.00
224590,37.78525874,-122.4196921,2,$166.00 ,$60.00 ,637.20
9841955,37.78707009,-122.4119705,2,$130.00 ,,546.00
17794830,37.78677205,-122.4074929,2,$75.00 ,$25.00 ,290.00
1551553,37.78796663,-122.4150675,4,$230.00 ,$60.00 ,906.00
7620288,37.77660888,-122.4177347,3,$175.00 ,,735.00
